video,start_frame,end_frame,biometric,start_row,end_row,stress,label
/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/I/V5_facecroppad.npy,7200.0,9000.0,/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/I/T5.csv,960.0,1200.0,9.0,train
/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/P/V6_facecroppad.npy,1800.0,3600.0,/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/P/T6.csv,240.0,480.0,1.0,train
/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/K/V2_facecroppad.npy,0.0,1800.0,/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/K/T2.csv,0.0,240.0,7.0,train
/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/M/V1_facecroppad.npy,0.0,1800.0,/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/M/T1.csv,0.0,240.0,1.0,train
/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/J/V5_facecroppad.npy,14400.0,16200.0,/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/J/T5.csv,1920.0,2160.0,20.0,train
/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/H/V7_facecroppad.npy,0.0,1800.0,/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/H/T7.csv,0.0,240.0,,train
/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/K/V6_facecroppad.npy,7200.0,9000.0,/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/K/T6.csv,960.0,1200.0,1.0,train
/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/S/V7_facecroppad.npy,14400.0,16200.0,/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/S/T7.csv,1920.0,2160.0,2.0,train
/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/S/V3_facecroppad.npy,3600.0,5400.0,/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/S/T3.csv,480.0,720.0,10.0,train
/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/I/V8_facecroppad.npy,10800.0,12600.0,/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/I/T8.csv,1440.0,1680.0,1.0,train
/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/Q/V3_facecroppad.npy,0.0,1800.0,/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/Q/T3.csv,0.0,240.0,1.0,train
/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/J/V2_facecroppad.npy,12600.0,14400.0,/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/J/T2.csv,1680.0,1920.0,20.0,train
/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/Q/V3_facecroppad.npy,7200.0,9000.0,/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/Q/T3.csv,960.0,1200.0,2.0,train
/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/Q/V4_facecroppad.npy,14400.0,16200.0,/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/Q/T4.csv,1920.0,2160.0,1.0,train
/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/H/V6_facecroppad.npy,12600.0,14400.0,/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/H/T6.csv,1680.0,1920.0,1.0,train
/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/L/V4_facecroppad.npy,12600.0,14400.0,/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/L/T4.csv,1680.0,1920.0,1.0,train
/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/M/V3_facecroppad.npy,1800.0,3600.0,/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/M/T3.csv,240.0,480.0,11.0,train
/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/H/V5_facecroppad.npy,3600.0,5400.0,/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/H/T5.csv,480.0,720.0,5.0,train
/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/H/V5_facecroppad.npy,10800.0,12600.0,/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/H/T5.csv,1440.0,1680.0,6.0,train
/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/N/V2_facecroppad.npy,0.0,1800.0,/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/N/T2.csv,0.0,240.0,7.0,train
/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/J/V6_facecroppad.npy,5400.0,7200.0,/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/J/T6.csv,720.0,960.0,1.0,train
/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/K/V3_facecroppad.npy,5400.0,7200.0,/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/K/T3.csv,720.0,960.0,13.0,train
/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/N/V8_facecroppad.npy,7200.0,9000.0,/nfsmount/majid/multimodal/Emotion_recognition_T/dataset/N/T8.csv,960.0,1200.0,1.0,train
